ClientID,FirstName,LastName,Gender,DateOfBirth,Address,City,State,PostalCode,Country,Email,PhoneNumber,AccountType,AccountNumber,Balance,AccountOpened,LastTransaction,CreditScore,EmploymentStatus,AnnualIncome,MaritalStatus,NumberOfDependents
1,John,Doe,Male,1980-05-15,1234 Elm St,Springfield,IL,62704,USA,johndoe@example.com,555-1234,Checking,1234567890,1500.75,2010-06-15,2023-06-30,720,Employed,75000,Married,2
2,Jane,Smith,Female,1992-08-20,5678 Oak St,Springfield,IL,62704,USA,janesmith@example.com,555-5678,Savings,2345678901,10500.00,2012-07-20,2023-06-25,680,Employed,82000,Single,0
3,Robert,Johnson,Male,1985-09-12,91011 Maple St,Springfield,IL,62704,USA,robertjohnson@example.com,555-9101,Credit,3456789012,2500.50,2015-03-10,2023-06-28,700,Self-Employed,95000,Married,1
4,Emily,Davis,Female,1995-11-30,121314 Pine St,Springfield,IL,62704,USA,emilydavis@example.com,555-1213,Checking,4567890123,875.00,2017-05-22,2023-06-29,650,Student,12000,Single,0
5,Michael,Miller,Male,1978-07-08,151617 Birch St,Springfield,IL,62704,USA,michaelmiller@example.com,555-1516,Savings,5678901234,2300.20,2009-09-14,2023-06-27,690,Employed,67000,Divorced,3
6,Linda,Wilson,Female,1988-03-23,181920 Cedar St,Springfield,IL,62704,USA,lindawilson@example.com,555-1819,Checking,6789012345,450.75,2011-04-05,2023-06-26,710,Employed,54000,Single,1
7,David,Moore,Male,1990-01-10,212223 Cherry St,Springfield,IL,62704,USA,davidmoore@example.com,555-2122,Credit,7890123456,3200.00,2013-12-15,2023-06-30,720,Employed,78000,Married,0
8,Susan,Taylor,Female,1982-10-18,242526 Walnut St,Springfield,IL,62704,USA,susantaylor@example.com,555-2425,Checking,8901234567,675.25,2014-06-25,2023-06-29,675,Employed,62000,Married,2
9,James,Anderson,Male,1981-04-04,272829 Ash St,Springfield,IL,62704,USA,jamesanderson@example.com,555-2728,Savings,9012345678,9100.00,2008-11-05,2023-06-28,705,Self-Employed,88000,Married,1
10,Patricia,Thomas,Female,1993-02-22,303132 Spruce St,Springfield,IL,62704,USA,patriciathomas@example.com,555-3031,Checking,0123456789,320.50,2016-08-12,2023-06-27,640,Student,15000,Single,0
11,Charles,Jackson,Male,1984-12-01,333435 Cedar St,Springfield,IL,62704,USA,charlesjackson@example.com,555-3334,Credit,1234567890,2900.80,2011-05-09,2023-06-26,710,Employed,63000,Married,2
12,Mary,White,Female,1987-07-07,363738 Pine St,Springfield,IL,62704,USA,marywhite@example.com,555-3637,Savings,2345678901,11000.50,2007-10-18,2023-06-25,730,Employed,59000,Married,1
13,William,Harris,Male,1979-05-21,394041 Oak St,Springfield,IL,62704,USA,williamharris@example.com,555-3940,Checking,3456789012,2700.30,2012-04-13,2023-06-24,695,Employed,76000,Divorced,3
14,Barbara,Martin,Female,1986-08-15,424344 Elm St,Springfield,IL,62704,USA,barbaramartin@example.com,555-4243,Credit,4567890123,2400.60,2010-06-08,2023-06-23,720,Self-Employed,84000,Married,1
15,Richard,Martinez,Male,1991-09-25,454647 Birch St,Springfield,IL,62704,USA,richardmartinez@example.com,555-4546,Checking,5678901234,650.40,2015-11-19,2023-06-22,685,Employed,54000,Single,0
16,Jennifer,Garcia,Female,1983-02-11,484950 Maple St,Springfield,IL,62704,USA,jennifergarcia@example.com,555-4849,Savings,6789012345,1500.75,2006-07-23,2023-06-21,710,Employed,71000,Married,2
17,Joseph,Martinez,Male,1977-11-02,515253 Cedar St,Springfield,IL,62704,USA,josephmartinez@example.com,555-5152,Credit,7890123456,3400.90,2014-09-11,2023-06-20,680,Employed,81000,Married,1
18,Sarah,Rodriguez,Female,1994-03-29,545556 Pine St,Springfield,IL,62704,USA,sarahrodriguez@example.com,555-5455,Checking,8901234567,900.65,2017-05-25,2023-06-19,660,Student,18000,Single,0
19,Daniel,Lewis,Male,1989-01-20,575859 Cherry St,Springfield,IL,62704,USA,daniellewis@example.com,555-5758,Savings,9012345678,5000.40,2005-11-07,2023-06-18,695,Self-Employed,92000,Married,2
20,Karen,Walker,Female,1980-06-09,606162 Oak St,Springfield,IL,62704,USA,karenwalker@example.com,555-6061,Checking,0123456789,300.25,2013-08-28,2023-06-17,645,Employed,57000,Divorced,1
21,Thomas,Hall,Male,1981-12-22,636465 Elm St,Springfield,IL,62704,USA,thomashall@example.com,555-6364,Credit,1234567890,2200.55,2011-04-15,2023-06-16,710,Employed,68000,Married,2
22,Lisa,Allen,Female,1985-05-30,666768 Birch St,Springfield,IL,62704,USA,lisaallen@example.com,555-6667,Savings,2345678901,8900.35,2009-09-22,2023-06-15,725,Employed,62000,Married,1
23,Steven,Young,Male,1993-04-04,696971 Maple St,Springfield,IL,62704,USA,stevenyoung@example.com,555-6969,Checking,3456789012,275.60,2016-11-09,2023-06-14,640,Student,12000,Single,0
